title,rating
The Shawshank Redemption,9.3
The Godfather,9.2
The Dark Knight,9.1
The Godfather Part II,9.0
12 Angry Men,9.0
The Lord of the Rings: The Return of the King,9.0
Schindler's List,9.0
The Lord of the Rings: The Fellowship of the Ring,8.9
Pulp Fiction,8.8
"The Good, the Bad and the Ugly",8.8
The Lord of the Rings: The Two Towers,8.8
Forrest Gump,8.8
Fight Club,8.8
Inception,8.8
Star Wars: Episode V - The Empire Strikes Back,8.7
The Matrix,8.7
GoodFellas,8.7
Interstellar,8.7
One Flew Over the Cuckoo's Nest,8.6
Seven,8.6
It's a Wonderful Life,8.6
The Silence of the Lambs,8.6
Seven Samurai,8.6
Saving Private Ryan,8.6
The Green Mile,8.6
City of God,8.6
Life Is Beautiful,8.6
Terminator 2: Judgment Day,8.6
Back to the Future,8.5
Star Wars: Episode IV - A New Hope,8.6
Spirited Away,8.6
The Pianist,8.5
Gladiator,8.5
Parasite,8.5
Kill Bill: The Whole Bloody Affair,8.8
Grave of the Fireflies,8.5
Psycho,8.5
The Lion King,8.5
Harakiri,8.6
The Departed,8.5
Whiplash,8.5
The Prestige,8.5
American History X,8.5
Léon: The Professional,8.5
Spider-Man: Across the Spider-Verse,8.5
Cinema Paradiso,8.5
Casablanca,8.5
The Intouchables,8.5
The Usual Suspects,8.5
Django Unchained,8.5
